Exam board,Date,Morning/Afternoon,Code,Course,Qualification,Paper,Notes,Time,Duration,POS,Exam spec
CEA,4/6/2018,Morning,GHR11,History,GCSE,History Unit 1 (1hr 45m) (New),, 9:15 - 11:00,1hr 45m,zj26n39,z3b4v9q
CEA,5/6/2018,Morning,GEG21,English Lang/English,GCSE,English Lang/English Unit 2 (F) (1hr 30m),, 9:15 - 10:45,1hr 30m,zr9d7ty,z3s43k7
CEA,5/6/2018,Morning,GEG22,English Lang/English,GCSE,English Lang/English Unit 2 (H) (1hr 30m),, 9:15 - 10:45,1hr 30m,zr9d7ty,z3s43k7
CEA,6/6/2018,Morning,G9703,Music,GCSE,Music Part 1 (45m),, 9:15 - 10:00,45m,zpf3cdm,
CEA,6/6/2018,Morning,GSP31,Spanish,GCSE,Spanish 3 Listening (F) (35m),,9:15 - 9:50,35m,z4dqxnb,
CEA,6/6/2018,Morning,GSP32,Spanish,GCSE,Spanish 3 Listening (H) (45m),,9:15 - 10:00,45m,z4dqxnb,
CEA,7/6/2018,Morning,GMT51,Mathematics,GCSE,Mathematics Unit 5 Non-Calc (F) (1hr),, 9:15 - 10:15,1hr,z38pycw,zcq8b82
CEA,7/6/2018,Morning,GMT52,Mathematics,GCSE,Mathematics Unit 5 Calc (F) (1hr),,10:45 - 11:45,1hr,z38pycw,zcq8b82
CEA,7/6/2018,Morning,GMT61,Mathematics,GCSE,Mathematics Unit 6 Non-Calc (H) (1hr 15m),, 9:15 - 10:30,1hr 15m,z38pycw,zcq8b82
CEA,7/6/2018,Morning,GMT62,Mathematics,GCSE,Mathematics Unit 6 Calc (H) (1hr 15m),,10:45 - 12:00,1hr 15m,z38pycw,zcq8b82
CEA,8/6/2018,Morning,GBY11,Biology,GCSE,Biology Unit 1 (F) (1hr 15m),,9:15 - 10:30,1hr 15m,z9ddmp3,zyqmv4j
CEA,8/6/2018,Morning,GBL11,Biology,GCSE,Biology Unit 1 (F) (1hr 15m) (New),, 9:15 - 10:30,1hr 15m,z9ddmp3,zyqmv4j
CEA,8/6/2018,Morning,GBY12,Biology,GCSE,Biology Unit 1 (H) (1hr 30m),, 9:15 - 10:30,1hr 30m,z9ddmp3,zyqmv4j
CEA,8/6/2018,Morning,GBL12,Biology,GCSE,Biology Unit 1 (H) (1hr 15m) (New),, 9:15 - 10:30,1hr 15m,z9ddmp3,zyqmv4j
CEA,8/6/2018,Morning,GSD41,DAS: Biology,GCSE,DAS: Biology Unit 2 (F) (1hr 15m),, 9:15 - 10:30,1hr 15m,zrkw2hv,
